Surname,Gender,Current Institution,Country of current work,Country of birth/citizenship,PhD or highest degree awarding institution,PhD or highest degree awarding country,IPCC representing country (i.e. Country of residence from IPCC doc),IPCC AR5 WGIII chapter,Role in the chapter,Other Institution 1,Other Institution 2,Other Institution 3,Other Institution 4,Other Institution 5,Other Institution 6,Other Institution 7,Other Institution 8,Other Institution 9,Other Institution 10,Other Institution 11,Other Institution 12,Other Institution 13...23,Other Institution 13...24,Other Institution 14,Other Institution 15
Krey,1,IIASA,Austria,MD,Ruhr_UoBochum,Germany,Austria,6,LA,IIASA,RC_Julich,IPCC,EMF,UoVienna,PNNL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kriegler,1,PIK,Germany,Germany,UoPotsdam,Germany,Germany,6,LA,PIK,WBGU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Krug,0,INPE,Brazil,MD,UoSheffield,UK,Brazil,11,RE,INPE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kunreuther,1,UoPennsylvania,USA,USA,MIT,USA,USA,2,CLA,UoPennsylvania,IIASA,UoYale,IDA,UoChicago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kverndokk,1,Frisch_Centre,Norway,Norway,UoOslo,Norway,Norway,3,RE,SNF,Statistics_Norway,UoOslo,NASL,Frisch_Centre,CREE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lanza,1,CMCC,Italy,Italy,UCL,UK,Italy,10,LA,UoEni_Corporate,FEEM,OECD,UoOxford,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lecocq,1,AgroParisTech,France,France,ENGREF,France,France,4,LA,CIRED,AgroParisTech,World_Bank,EHESS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lewis,0,UoGeorgetown,USA,USA,UoCalifornia_Berkeley,USA,USA,14,LA,US_China_CEF,UNIDO,Pew_Center_GCC,UoGeorgetown,LBNL,UoCalifornia_Berkeley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Linnerooth-Bayer,0,IIASA,Austria,Austria,UoMaryland,USA,Austria,2,RE,TechUoVienna,IRM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lucon,1,SMA-SP,Brazil,Brazil,UoSaoPaulo,Brazil,Brazil,9,CLA,CETESB,IMT,UoSaoPaulo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
