STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00014732,"LAGUARDIA AIRPORT, NY US",3/21/2015,0.01,48,29
USW00014732,"LAGUARDIA AIRPORT, NY US",3/22/2015,0,44,28
USW00014732,"LAGUARDIA AIRPORT, NY US",3/23/2015,0,38,24
USW00014732,"LAGUARDIA AIRPORT, NY US",3/24/2015,0,44,26
USW00014732,"LAGUARDIA AIRPORT, NY US",3/25/2015,0.05,48,32
USW00014732,"LAGUARDIA AIRPORT, NY US",3/26/2015,0.24,57,38
USW00014732,"LAGUARDIA AIRPORT, NY US",3/27/2015,0.28,46,40
USW00014732,"LAGUARDIA AIRPORT, NY US",3/28/2015,0,41,27
USW00014732,"LAGUARDIA AIRPORT, NY US",3/29/2015,0,46,27
USW00014732,"LAGUARDIA AIRPORT, NY US",3/30/2015,0,55,34
USW00014732,"LAGUARDIA AIRPORT, NY US",3/31/2015,0.14,47,36
USW00014732,"LAGUARDIA AIRPORT, NY US",4/1/2015,0,51,34
USW00014732,"LAGUARDIA AIRPORT, NY US",4/2/2015,0,63,39
USW00014732,"LAGUARDIA AIRPORT, NY US",4/3/2015,0.04,63,53
USW00014732,"LAGUARDIA AIRPORT, NY US",4/4/2015,0,60,44
USW00014732,"LAGUARDIA AIRPORT, NY US",4/5/2015,0,62,43
USW00014732,"LAGUARDIA AIRPORT, NY US",4/6/2015,0,60,39
USW00014732,"LAGUARDIA AIRPORT, NY US",4/7/2015,0.17,57,42
USW00014732,"LAGUARDIA AIRPORT, NY US",4/8/2015,0,46,38
USW00014732,"LAGUARDIA AIRPORT, NY US",4/9/2015,0.01,44,37
USW00014732,"LAGUARDIA AIRPORT, NY US",4/10/2015,0.24,57,39
USW00014732,"LAGUARDIA AIRPORT, NY US",4/11/2015,0,57,45
USW00014732,"LAGUARDIA AIRPORT, NY US",4/12/2015,0,65,44
USW00014732,"LAGUARDIA AIRPORT, NY US",4/13/2015,0,65,47
USW00014732,"LAGUARDIA AIRPORT, NY US",4/14/2015,0,65,53
USW00014732,"LAGUARDIA AIRPORT, NY US",4/15/2015,0,70,51
USW00014732,"LAGUARDIA AIRPORT, NY US",4/16/2015,0,62,47
USW00014732,"LAGUARDIA AIRPORT, NY US",4/17/2015,0.08,71,55
USW00014732,"LAGUARDIA AIRPORT, NY US",4/18/2015,0,79,54
USW00014732,"LAGUARDIA AIRPORT, NY US",4/19/2015,0,61,47
USW00014732,"LAGUARDIA AIRPORT, NY US",4/20/2015,0.95,59,45
USW00014732,"LAGUARDIA AIRPORT, NY US",4/21/2015,0.23,67,52
USW00014732,"LAGUARDIA AIRPORT, NY US",4/22/2015,0.1,67,48
USW00014732,"LAGUARDIA AIRPORT, NY US",4/23/2015,0,50,42
USW00014732,"LAGUARDIA AIRPORT, NY US",4/24/2015,0,50,39
USW00014732,"LAGUARDIA AIRPORT, NY US",4/25/2015,0,60,39
USW00014732,"LAGUARDIA AIRPORT, NY US",4/26/2015,0,61,45
USW00014732,"LAGUARDIA AIRPORT, NY US",4/27/2015,0,60,49
USW00014732,"LAGUARDIA AIRPORT, NY US",4/28/2015,0,72,51
USW00014732,"LAGUARDIA AIRPORT, NY US",4/29/2015,0,76,48
USW00014732,"LAGUARDIA AIRPORT, NY US",4/30/2015,0,64,47
USW00014732,"LAGUARDIA AIRPORT, NY US",5/1/2015,0,59,48
USW00014732,"LAGUARDIA AIRPORT, NY US",5/2/2015,0,69,48
USW00014732,"LAGUARDIA AIRPORT, NY US",5/3/2015,0,76,51
USW00014732,"LAGUARDIA AIRPORT, NY US",5/4/2015,0,82,54
USW00014732,"LAGUARDIA AIRPORT, NY US",5/5/2015,0,81,64
USW00014732,"LAGUARDIA AIRPORT, NY US",5/6/2015,0,69,58
USW00014732,"LAGUARDIA AIRPORT, NY US",5/7/2015,0,76,52
USW00014732,"LAGUARDIA AIRPORT, NY US",5/8/2015,0,79,54
USW00014732,"LAGUARDIA AIRPORT, NY US",5/9/2015,0.01,64,53
USW00014732,"LAGUARDIA AIRPORT, NY US",5/10/2015,0,82,57
USW00014732,"LAGUARDIA AIRPORT, NY US",5/11/2015,0,83,67
USW00014732,"LAGUARDIA AIRPORT, NY US",5/12/2015,0,87,63
USW00014732,"LAGUARDIA AIRPORT, NY US",5/13/2015,0,67,54
USW00014732,"LAGUARDIA AIRPORT, NY US",5/14/2015,0,72,52
USW00014732,"LAGUARDIA AIRPORT, NY US",5/15/2015,0,74,56
USW00014732,"LAGUARDIA AIRPORT, NY US",5/16/2015,0.27,75,57
USW00014732,"LAGUARDIA AIRPORT, NY US",5/17/2015,0.02,83,61
USW00014732,"LAGUARDIA AIRPORT, NY US",5/18/2015,0,71,56
USW00014732,"LAGUARDIA AIRPORT, NY US",5/19/2015,0.01,82,55
USW00014732,"LAGUARDIA AIRPORT, NY US",5/20/2015,0,66,55
USW00014732,"LAGUARDIA AIRPORT, NY US",5/21/2015,0,62,53
USW00014732,"LAGUARDIA AIRPORT, NY US",5/22/2015,0,75,55
USW00014732,"LAGUARDIA AIRPORT, NY US",5/23/2015,0,70,50
USW00014732,"LAGUARDIA AIRPORT, NY US",5/24/2015,0,81,56
USW00014732,"LAGUARDIA AIRPORT, NY US",5/25/2015,0,83,65
